Type|Date|Source|Description|Reference|Currency|Debit (Source)|Credit (Source)|Debit (AUD)|Credit (AUD)|Running Balance (AUD)
Sales - Westmead Private Hospital|23 Aug 2024|Receivable Invoice|Westmead Private Hospital - Liquid-flow Tube - N/A (231101)|4506517371|AUD|0.00|110.00|0.00|110.00|110.00
Sales - Westmead Private Hospital|23 Aug 2024|Receivable Invoice|Westmead Private Hospital - Curette with teeth 80mm - N/A (231129)|4506517371|AUD|0.00|1,113.00|0.00|1,113.00|1,113.00
Sales - Cairns Private Hospital|13 Aug 2024|Receivable Invoice|Cairns Private Hospital - Katana Polyaxial Screw, 7.5x40mm - IY004 - 236041 (ES-04-1740)|4506546885|AUD|0.00|6,510.00|0.00|6,510.00|6,510.00
Sales - Cairns Private Hospital|13 Aug 2024|Receivable Invoice|Cairns Private Hospital - Katana Set Screw - IY010 - 236041 (ES-04-7000)|4506546885|AUD|0.00|858.00|0.00|858.00|858.00
Sales - Cairns Private Hospital|13 Aug 2024|Receivable Invoice|Cairns Private Hospital - Katana Pre-lordorsed MIS Rod, 65mm - IY024 - 236041 (ES-04-5065)|4506546885|AUD|0.00|680.00|0.00|680.00|680.00
Sales - Cairns Private Hospital|13 Aug 2024|Receivable Invoice|Cairns Private Hospital - Elba TLIF 15 Deg Cage - 32x10x12mm - IY105 - 370517 (ACT32101215)|4506546885|AUD|0.00|6,626.00|0.00|6,626.00|6,626.00
Sales - Allograft|13 Aug 2024|Receivable Invoice|Cairns Private Hospital - ENHANCE Demineralized Cortical Fibers XLarge 10cc Freeze-Dried - CAA23 - 299298 (AU422206)|4506546885|AUD|0.00|3,155.00|0.00|3,155.00|3,155.00
Sales - Allograft|01 Aug 2024|Receivable Invoice|Cairns Private Hospital - ENHANCE Demineralized Cortical Fibers Medium 2.5cc Freeze-Dried - CAA17 - 299298 (AU422204)|4506547016|AUD|0.00|2,446.00|0.00|2,446.00|2,446.00
Sales - Allograft|06 Aug 2024|Receivable Invoice|Cairns Private Hospital - ENHANCE Demineralized Cortical Fibers XLarge 10cc Freeze-Dried - CAA23 - 299298 (AU422206)|4506548456|AUD|0.00|3,155.00|0.00|3,155.00|3,155.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC Variable Screw 4.0 x 12 - IY056 - 354092 (1061-140-012)|4506556702|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC  Cage 16.5 X 13.5 X 6 - 7 Deg - IY055 - 354092 (1061-216-306)|4506556702|AUD|0.00|4,161.00|0.00|4,161.00|4,161.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k Cervical Interbody Cage, Lock - IY056 - 354092 (1061-001-000)|4506556702|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC Variable Screw 4.0 x 12 - IY056 - 354092 (1061-140-012)|4506556702|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k Cervical Interbody Cage, Lock - IY056 - 354092 (1061-001-000)|4506556702|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC Variable Screw 4.0 x 12 - IY056 - 354092 (1061-140-012)|4506556702|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC Variable Screw 4.0 x 12 - IY056 - 354092 (1061-140-012)|4506556702|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC  Cage 16.5 X 13.5 X 7 - 12 Deg - IY055 - 354092 (1061-316-307)|4506556702|AUD|0.00|4,161.00|0.00|4,161.00|4,161.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k Cervical Interbody Cage, Lock - IY056 - 354092 (1061-001-000)|4506556702|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC  Cage 16.5 X 13.5 X 7 - 7 Deg - IY055 - 354092 (1061-216-307)|4506556702|AUD|0.00|4,161.00|0.00|4,161.00|4,161.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC Variable Screw 4.0 x 12 - IY056 - 354092 (1061-140-012)|4506556702|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC Variable Screw 4.0 x 12 - IY056 - 354092 (1061-140-012)|4506556702|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k Cervical Interbody Cage, Lock - IY056 - 354092 (1061-001-000)|4506557067|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC  Cage 16.5 X 13.5 X 7 - 7 Deg - IY055 - 354092 (1061-216-307)|4506557067|AUD|0.00|4,161.00|0.00|4,161.00|4,161.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC Variable Screw 4.0 x 12 - IY056 - 354092 (1061-140-012)|4506557067|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k Cervical Interbody Cage, Lock - IY056 - 354092 (1061-001-000)|4506557067|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC Variable Screw 4.0 x 12 - IY056 - 354092 (1061-140-012)|4506557067|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC Variable Screw 4.0 x 12 - IY056 - 354092 (1061-140-012)|4506557067|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC Variable Screw 4.0 x 12 - IY056 - 354092 (1061-140-012)|4506557067|AUD|0.00|186.00|0.00|186.00|186.00
Sales - Greenslopes Private Hospital|09 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Tesera-k SC  Cage 16.5 X 13.5 X 7 - 12 Deg - IY055 - 354092 (1061-316-307)|4506557067|AUD|0.00|4,161.00|0.00|4,161.00|4,161.00
Sales - Greenslopes Private Hospital|16 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Pianosa PLIF 20 Deg Cage - 24x10x14mm - IY104 - 370517 (ACP24101420)|4506564260|AUD|0.00|2,222.00|0.00|2,222.00|2,222.00
Sales - Greenslopes Private Hospital|16 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Guide Wire 1.5x580mm - N/A (CS 7173-580)|4506564260|AUD|0.00|330.00|0.00|330.00|330.00
Sales - Greenslopes Private Hospital|16 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - uDesis Gel - 2.5cc - PC009 (CS 6604-025)|4506564260|AUD|0.00|722.00|0.00|722.00|722.00
Sales - Greenslopes Private Hospital|16 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Pedicle Access Kit (PAK) - Disposable Passive Array - N/A - 311783 (MP6001)|4506564260|AUD|0.00|895.00|0.00|895.00|895.00
Sales - Allograft|16 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - ENHANCE Demineralized Cortical Fibers Large 5cc Freeze-Dried - CAA22 - 299298 (AU422205)|4506564260|AUD|0.00|5,690.00|0.00|5,690.00|5,690.00
Sales - Greenslopes Private Hospital|21 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Noraker Glass Boneputty 1cc - IY001 - 341771 (GB-IP 1.0)|4506577908|AUD|0.00|1,026.00|0.00|1,026.00|1,026.00
Sales - The Avenue Hospital|23 Aug 2024|Receivable Invoice|The Avenue Hospital - Spinal Cannula Set - N/A (492201215)|4506581552|AUD|0.00|52.50|0.00|52.50|52.50
Sales - The Avenue Hospital|23 Aug 2024|Receivable Invoice|The Avenue Hospital - Tip Control RF Instrument Bipo - 2.5mm, WL 350mm - Plug to Radioblator RF 4MHz - Single Use - N/A (4993692)|4506581552|AUD|0.00|1,532.76|0.00|1,532.76|1,532.76
Sales - The Avenue Hospital|23 Aug 2024|Receivable Invoice|The Avenue Hospital - Irrigation Tube Set Spike - L 3m with Y-piece - N/A (4171223)|4506581552|AUD|0.00|58.50|0.00|58.50|58.50
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Noraker Glass Boneputty 2.5cc - IY001 - 341771 (GB-IP 2.5)|4506581935|AUD|0.00|5,130.00|0.00|5,130.00|5,130.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - uDesis Gel - 2.5cc - PC009 (CS 6604-025)|4506581935|AUD|0.00|1,444.00|0.00|1,444.00|1,444.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Pianosa PLIF 20 Deg Cage - 24x10x16mm - IY104 - 370517 (ACP24101620)|4506581935|AUD|0.00|4,444.00|0.00|4,444.00|4,444.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Pianosa PLIF 20 Deg Cage - 24x10x15mm - IY104 - 370517 (ACP24101520)|4506581935|AUD|0.00|4,444.00|0.00|4,444.00|4,444.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Guide Wire 1.5x500mm - N/A (CS 2624)|4506581935|AUD|0.00|220.00|0.00|220.00|220.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Screw, pre-fixation, diameter 10mm, length 60mm (Cannulated) - IY066 - 365230 (CS 3804-100-060)|4506581935|AUD|0.00|2,170.00|0.00|2,170.00|2,170.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Screw, pre-fixation, diameter 8.5mm, length 50mm (Cannulated) - IY066 - 365230 (CS 3804-085-050)|4506581935|AUD|0.00|4,340.00|0.00|4,340.00|4,340.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Reduction Pedicle Screw uCentum 7.5x55mm (Cannulated) - IY066 - 365230 (CS 3805-075-055)|4506581935|AUD|0.00|2,170.00|0.00|2,170.00|2,170.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Reduction Pedicle Screw uCenutm 6.5x45mm (Cannulated) - IY066 - 365230 (CS 3805-065-045)|4506581935|AUD|0.00|6,510.00|0.00|6,510.00|6,510.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Reduction Pedicle Screw uCenutm 6.5x50mm (Cannulated) - IY066 - 365230 (CS 3805-065-050)|4506581935|AUD|0.00|2,170.00|0.00|2,170.00|2,170.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Reduction Pedicle Screw uCenutm 6.5x55mm (Cannulated) - IY066 - 365230 (CS 3805-065-055)|4506581935|AUD|0.00|2,170.00|0.00|2,170.00|2,170.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Open Rod 300mm uCentum - IY067 - 365230 (CS 3807-300)|4506581935|AUD|0.00|680.00|0.00|680.00|680.00
Sales - Greenslopes Private Hospital|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - Locking Screw, Pre-Fixation uCentum - ER340 (CS 3801-02)|4506581935|AUD|0.00|10,080.00|0.00|10,080.00|10,080.00
Sales - Allograft|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - ENHANCE Demineralized Cortical Fibers Large 5cc Freeze-Dried - CAA22 - 299298 (AU422205)|4506581935|AUD|0.00|5,690.00|0.00|5,690.00|5,690.00
